,HomeTeam,AwayTeam,MW,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
93,Bournemouth,Burnley,10,0.3333333333333333,0.4444444444444444,-1,19,18,1,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7777777777777778,2.2222222222222223,2.5555555555555554,-1.5555555555555556,-1.7777777777777777,11.222222222222221,10.11111111111111,3.888888888888889,2.6666666666666665,18.555555555555557,16.444444444444443,6.555555555555555,6.444444444444445,0,0,2,1,0.4444444444444444,0.6666666666666666,2.0,1.5555555555555556,11.777777777777779,8.444444444444445,18.22222222222222,16.666666666666668,3.7777777777777777,2.2222222222222223,6.666666666666667,5.555555555555555,0.4444444444444444,0.8888888888888888,0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.6666666666666666,0.4444444444444444,1.64516129,1.397849462
94,Wolves,Newcastle,10,1.2222222222222223,1.7777777777777777,-5,12,6,6,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.3333333333333333,1.2222222222222223,2.6666666666666665,1.6666666666666667,1.0,-0.4444444444444444,1.6666666666666667,11.88888888888889,14.11111111111111,3.6666666666666665,6.555555555555555,16.22222222222222,11.555555555555555,6.111111111111111,3.4444444444444446,1,1,5,10,1.1111111111111112,2.4444444444444446,2.0,1.3333333333333333,8.444444444444445,10.666666666666666,16.22222222222222,9.555555555555555,2.4444444444444446,4.666666666666667,5.777777777777778,3.111111111111111,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.64893617,1.393617021
95,West Ham,Everton,10,1.5555555555555556,0.7777777777777778,7,9,16,-7,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.6666666666666666,1.7777777777777777,1.0,1.7777777777777777,1.5555555555555556,0.0,-0.5555555555555556,11.666666666666666,15.444444444444445,4.222222222222222,5.0,18.22222222222222,13.0,6.0,4.111111111111111,1,3,7,7,1.7777777777777777,1.1111111111111112,1.3333333333333333,2.0,9.555555555555555,10.88888888888889,16.0,14.222222222222221,4.666666666666667,3.3333333333333335,5.333333333333333,5.111111111111111,1.5555555555555556,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,1.652631579,1.4
96,Aston Villa,Luton,10,2.111111111111111,0.5555555555555556,14,5,17,-12,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.6666666666666666,2.5555555555555554,0.8888888888888888,1.4444444444444444,1.8888888888888888,1.1111111111111112,-1.0,15.222222222222221,12.777777777777779,6.0,2.4444444444444446,11.222222222222221,15.777777777777779,4.222222222222222,5.444444444444445,1,0,10,4,3.7777777777777777,1.1111111111111112,0.6666666666666666,2.4444444444444446,14.0,10.88888888888889,8.88888888888889,22.444444444444443,6.222222222222222,2.6666666666666665,2.6666666666666665,7.777777777777778,2.6666666666666665,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.0,0.6666666666666666,1.635416667,1.395833333
97,Brighton,Fulham,10,1.7777777777777777,1.2222222222222223,5,7,13,-6,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,2.4444444444444446,0.8888888888888888,2.0,1.6666666666666667,0.4444444444444444,-0.7777777777777778,15.11111111111111,10.666666666666666,6.333333333333333,3.3333333333333335,12.777777777777779,11.88888888888889,4.444444444444445,5.444444444444445,1,3,10,7,2.888888888888889,0.8888888888888888,1.7777777777777777,2.0,20.88888888888889,9.555555555555555,12.444444444444445,14.88888888888889,7.777777777777778,3.7777777777777777,3.5555555555555554,7.333333333333333,2.2222222222222223,1.1111111111111112,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.4444444444444444,1.649484536,1.391752577
98,Liverpool,Nott'm Forest,10,2.2222222222222223,1.1111111111111112,10,4,15,-11,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.3333333333333333,2.2222222222222223,1.1111111111111112,1.0,1.3333333333333333,1.2222222222222223,-0.2222222222222222,17.22222222222222,11.444444444444445,5.111111111111111,3.7777777777777777,13.444444444444445,13.0,4.222222222222222,4.333333333333333,1,1,10,6,2.4444444444444446,0.8888888888888888,0.4444444444444444,1.5555555555555556,20.22222222222222,10.666666666666666,8.666666666666666,15.333333333333334,6.0,3.7777777777777777,2.888888888888889,5.333333333333333,2.6666666666666665,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.0,0.6666666666666666,1.642857143,1.387755102
99,Man United,Man City,10,1.6666666666666667,2.3333333333333335,-6,8,2,6,0.5555555555555556,0.7777777777777778,0.0,0.0,0.4444444444444444,0.2222222222222222,1.2222222222222223,2.111111111111111,1.4444444444444444,0.7777777777777778,-0.2222222222222222,1.3333333333333333,16.0,15.666666666666666,5.0,6.666666666666667,13.222222222222221,6.777777777777778,4.888888888888889,2.2222222222222223,3,0,6,9,1.5555555555555556,2.0,1.5555555555555556,1.1111111111111112,19.333333333333332,22.88888888888889,13.555555555555555,7.333333333333333,6.222222222222222,9.11111111111111,5.111111111111111,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4444444444444444,0.4444444444444444,1.656565657,1.373737374
100,Fulham,Man United,11,1.2,1.5,-3,14,8,6,0.3,0.5,0.3,0.0,0.4,0.5,0.9,1.1,1.6,1.6,-0.7,-0.5,10.6,15.1,3.5,4.8,12.5,14.0,5.6,5.4,0,3,7,9,0.8,0.8,1.2,1.2,10.6,11.4,8.0,11.6,2.6,3.4,3.2,4.2,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.64,1.39
101,Brentford,West Ham,11,1.3,1.4,-1,10,9,1,0.3,0.4,0.4,0.2,0.3,0.4,1.6,1.6,1.2,1.7,0.4,-0.1,14.3,11.7,4.9,4.0,13.2,17.4,3.8,5.8,3,0,4,4,1.8,1.6,1.6,2.0,15.8,12.4,13.8,18.4,5.2,3.4,4.6,6.0,1.2,1.4,0.2,0.4,0.6,0.2,0.2,0.4,1.623762376,1.386138614
102,Burnley,Crystal Palace,11,0.4,1.2,-8,19,13,6,0.1,0.3,0.1,0.3,0.8,0.4,0.8,0.8,2.5,1.3,-1.7,-0.5,9.7,12.8,2.7,4.2,16.1,12.7,6.4,3.6,0,0,1,5,0.8,0.8,3.2,1.6,10.6,14.0,14.6,13.0,2.8,4.2,6.6,3.6,0.0,1.4,0.0,0.4,0.0,0.2,1.0,0.4,1.637254902,1.392156863
103,Everton,Brighton,11,1.0,1.7,-7,15,7,8,0.3,0.5,0.1,0.2,0.6,0.3,1.0,2.3,1.4,1.9,-0.4,0.4,14.9,15.4,4.9,6.4,12.9,12.5,3.9,4.5,0,0,6,7,0.8,1.8,1.0,2.0,18.0,8.4,10.6,11.8,6.0,4.4,2.8,4.8,0.6,1.2,0.2,0.4,0.0,0.0,0.8,0.4,1.621359223,1.398058252
104,Man City,Bournemouth,11,2.4,0.6,18,3,17,-14,0.8,0.1,0.0,0.3,0.2,0.6,2.2,0.8,0.7,2.1,1.5,-1.3,16.2,11.4,7.0,4.1,6.8,17.3,2.3,6.2,3,0,9,1,2.0,0.8,0.4,2.2,7.6,9.6,5.6,17.0,3.8,3.6,2.2,5.8,2.4,0.2,0.8,0.0,0.0,0.2,0.0,0.6,1.615384615,1.394230769
105,Sheffield United,Wolves,11,0.1,1.2,-11,20,12,8,0.0,0.3,0.1,0.3,0.9,0.4,0.7,1.3,2.9,1.7,-2.2,-0.4,8.5,11.8,3.0,3.9,20.3,15.9,8.0,6.0,0,3,0,8,0.8,1.2,3.0,1.2,9.6,13.8,21.2,14.6,3.6,4.4,8.6,5.8,0.2,1.4,0.0,0.4,0.2,0.2,0.8,0.4,1.657142857,1.39047619
106,Newcastle,Arsenal,11,1.7,2.4,-7,6,2,4,0.5,0.7,0.2,0.3,0.3,0.0,2.6,2.3,1.1,0.8,1.5,1.5,14.0,14.4,6.4,5.7,11.5,8.4,3.7,2.2,3,1,13,11,2.6,1.6,0.6,0.4,15.8,11.0,12.2,8.2,7.6,3.6,3.4,1.8,2.4,2.0,0.8,0.6,0.0,0.2,0.2,0.0,1.660377358,1.386792453
107,Nott'm Forest,Aston Villa,11,1.0,2.2,-12,16,5,11,0.2,0.7,0.4,0.1,0.4,0.2,1.0,2.6,1.5,1.4,-0.5,1.2,11.2,15.4,3.5,6.0,13.8,10.8,4.7,3.9,1,3,4,13,1.2,1.2,1.0,2.0,11.0,14.8,9.6,12.2,3.4,5.2,3.0,5.2,1.2,1.4,0.2,0.4,0.6,0.2,0.0,0.4,1.654205607,1.373831776
108,Luton,Liverpool,11,0.5,2.3,-18,18,4,14,0.1,0.7,0.2,0.2,0.7,0.1,0.9,2.3,2.0,0.9,-1.1,1.4,12.2,17.6,2.3,5.4,15.9,13.0,5.5,3.9,1,3,5,10,0.6,1.8,1.2,1.4,13.2,12.8,8.2,16.4,2.0,3.8,2.8,5.0,0.2,1.6,0.0,0.4,0.2,0.4,0.6,0.2,1.657407407,1.361111111
109,Tottenham,Chelsea,11,2.6,1.2,14,1,11,-10,0.8,0.3,0.2,0.3,0.0,0.4,2.2,1.3,0.9,1.1,1.3,0.2,17.7,13.9,6.1,4.4,12.7,11.1,4.2,3.6,3,1,13,8,1.6,1.4,0.4,0.8,16.8,10.2,10.2,9.0,5.8,3.8,3.6,3.2,2.4,1.4,0.8,0.4,0.0,0.2,0.0,0.2,1.651376147,1.357798165
110,Wolves,Tottenham,12,1.0909090909090908,2.3636363636363638,-14,14,2,12,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.09090909090909091,1.2727272727272727,2.090909090909091,1.7272727272727273,1.1818181818181819,-0.45454545454545453,0.9090909090909091,11.636363636363637,16.818181818181817,3.8181818181818183,6.0,15.454545454545455,13.090909090909092,5.636363636363637,4.545454545454546,1,3,9,13,1.2727272727272727,2.5454545454545454,2.0,1.2727272727272727,8.909090909090908,16.90909090909091,15.636363636363637,13.818181818181818,3.090909090909091,5.818181818181818,5.636363636363637,4.363636363636363,0.9090909090909091,2.5454545454545454,0.18181818181818182,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.0,1.645454545,1.381818182
111,Arsenal,Burnley,12,2.1818181818181817,0.36363636363636365,20,4,19,-15,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.8181818181818182,2.090909090909091,0.7272727272727273,0.8181818181818182,2.4545454545454546,1.2727272727272727,-1.7272727272727273,14.363636363636363,10.363636363636363,5.2727272727272725,2.909090909090909,8.454545454545455,15.0,2.1818181818181817,6.090909090909091,3,0,11,0,2.727272727272727,0.7272727272727273,1.0909090909090908,1.6363636363636365,16.181818181818183,8.0,7.818181818181818,16.0,7.090909090909091,2.3636363636363638,2.3636363636363638,5.636363636363637,2.5454545454545454,0.7272727272727273,0.7272727272727273,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.0,0.5454545454545454,1.648648649,1.378378378
112,Crystal Palace,Everton,12,1.3636363636363635,1.0,4,11,16,-5,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.9090909090909091,1.0,1.1818181818181819,1.3636363636363635,-0.2727272727272727,-0.36363636363636365,12.0,14.454545454545455,4.090909090909091,4.818181818181818,13.090909090909092,12.363636363636363,3.727272727272727,3.727272727272727,0,3,5,9,0.7272727272727273,1.0909090909090908,0.9090909090909091,1.6363636363636365,10.545454545454545,10.727272727272727,11.272727272727273,13.818181818181818,3.8181818181818183,3.4545454545454546,3.272727272727273,4.545454545454546,0.9090909090909091,1.2727272727272727,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,1.660714286,1.375
113,Man United,Luton,12,1.6363636363636365,0.5454545454545454,12,8,17,-9,0.5454545454545454,0.09090909090909091,0.0,0.2727272727272727,0.45454545454545453,0.6363636363636364,1.0909090909090908,0.9090909090909091,1.4545454545454546,1.9090909090909092,-0.36363636363636365,-1.0,14.818181818181818,11.818181818181818,4.818181818181818,2.5454545454545454,14.363636363636363,16.636363636363637,5.181818181818182,5.545454545454546,0,0,9,5,1.2727272727272727,1.0909090909090908,1.8181818181818181,2.5454545454545454,17.09090909090909,10.181818181818182,14.909090909090908,21.454545454545453,5.636363636363637,2.3636363636363638,6.0,7.454545454545454,1.6363636363636365,0.7272727272727273,0.5454545454545454,0.18181818181818182,0.0,0.18181818181818182,0.5454545454545454,0.7272727272727273,1.663716814,1.389380531
114,Bournemouth,Newcastle,12,0.5454545454545454,1.8181818181818181,-14,18,6,12,0.09090909090909091,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.2727272727272727,0.8181818181818182,2.4545454545454546,2.4545454545454546,1.0,-1.6363636363636365,1.4545454545454546,10.818181818181818,13.545454545454545,3.8181818181818183,6.0,17.636363636363637,11.727272727272727,6.363636363636363,3.4545454545454546,3,1,3,11,0.7272727272727273,2.3636363636363638,1.8181818181818181,1.4545454545454546,12.0,11.090909090909092,16.0,9.818181818181818,4.181818181818182,4.7272727272727275,6.0,3.6363636363636362,0.9090909090909091,0.9090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.36363636363636365,1.657894737,1.377192982
115,Aston Villa,Fulham,12,2.0,1.0909090909090908,10,5,15,-10,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.45454545454545453,2.3636363636363638,0.8181818181818182,1.4545454545454546,1.5454545454545454,0.9090909090909091,-0.7272727272727273,15.181818181818182,11.272727272727273,5.7272727272727275,3.4545454545454546,10.272727272727273,12.454545454545455,3.8181818181818183,5.545454545454546,3,1,13,5,3.6363636363636362,0.9090909090909091,0.7272727272727273,1.8181818181818181,14.545454545454545,9.636363636363637,8.545454545454545,15.454545454545455,6.181818181818182,4.0,2.3636363636363638,7.2727272727272725,2.727272727272727,1.0909090909090908,0.9090909090909091,0.18181818181818182,0.0,0.5454545454545454,0.0,0.36363636363636365,1.660869565,1.365217391
116,Brighton,Sheffield United,12,1.6363636363636365,0.36363636363636365,14,7,20,-13,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.8181818181818182,2.1818181818181817,0.8181818181818182,1.8181818181818181,2.727272727272727,0.36363636363636365,-1.9090909090909092,14.636363636363637,8.727272727272727,6.0,2.909090909090909,12.272727272727273,19.363636363636363,4.454545454545454,7.545454545454546,1,0,5,0,2.5454545454545454,0.5454545454545454,1.6363636363636365,2.5454545454545454,20.363636363636363,6.7272727272727275,12.0,17.636363636363637,7.636363636363637,2.1818181818181817,3.8181818181818183,6.7272727272727275,2.0,0.0,0.5454545454545454,0.0,0.36363636363636365,0.0,0.18181818181818182,0.9090909090909091,1.672413793,1.362068966
117,Liverpool,Brentford,12,2.1818181818181817,1.4545454545454546,8,3,9,-6,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.2727272727272727,2.1818181818181817,1.7272727272727273,0.9090909090909091,1.2727272727272727,1.2727272727272727,0.45454545454545453,18.181818181818183,14.454545454545455,5.454545454545454,4.818181818181818,12.545454545454545,13.090909090909092,4.0,3.6363636363636362,3,3,10,7,2.5454545454545454,1.2727272727272727,0.36363636363636365,0.7272727272727273,20.363636363636363,11.636363636363637,8.727272727272727,11.454545454545455,6.363636363636363,4.181818181818182,2.5454545454545454,2.727272727272727,2.727272727272727,1.2727272727272727,0.9090909090909091,0.36363636363636365,0.0,0.18181818181818182,0.0,0.36363636363636365,1.666666667,1.358974359
118,West Ham,Nott'm Forest,12,1.2727272727272727,1.1818181818181819,1,12,13,-1,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.36363636363636365,1.6363636363636365,1.0909090909090908,1.8181818181818181,1.3636363636363635,-0.18181818181818182,-0.2727272727272727,11.727272727272727,10.636363636363637,3.8181818181818183,3.4545454545454546,17.272727272727273,13.727272727272727,5.636363636363637,4.545454545454546,0,0,4,3,1.4545454545454546,0.7272727272727273,1.2727272727272727,1.8181818181818181,10.0,10.363636363636363,14.909090909090908,16.363636363636363,4.181818181818182,3.272727272727273,5.090909090909091,5.818181818181818,1.2727272727272727,0.7272727272727273,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.7272727272727273,1.677966102,1.347457627
119,Chelsea,Man City,12,1.3636363636363635,2.4545454545454546,-12,10,1,9,0.36363636363636365,0.8181818181818182,0.2727272727272727,0.0,0.36363636363636365,0.18181818181818182,1.5454545454545454,2.5454545454545454,1.0909090909090908,0.7272727272727273,0.45454545454545453,1.8181818181818181,14.181818181818182,16.636363636363637,4.7272727272727275,7.090909090909091,10.818181818181818,6.636363636363637,3.727272727272727,2.1818181818181817,0,3,7,9,1.0909090909090908,2.1818181818181817,1.2727272727272727,0.9090909090909091,16.0,22.545454545454547,12.0,7.2727272727272725,4.545454545454546,9.272727272727273,3.6363636363636362,2.1818181818181817,0.9090909090909091,2.1818181818181817,0.18181818181818182,0.7272727272727273,0.36363636363636365,0.0,0.5454545454545454,0.36363636363636365,1.68907563,1.352941176
120,Man City,Liverpool,13,2.3333333333333335,2.25,1,1,2,-1,0.75,0.6666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,2.6666666666666665,2.25,1.0,0.8333333333333334,1.6666666666666667,1.4166666666666667,16.5,18.083333333333332,7.333333333333333,5.833333333333333,7.5,12.833333333333334,2.75,3.9166666666666665,3,1,9,8,2.6666666666666665,1.6666666666666667,0.5,1.3333333333333333,9.833333333333334,14.666666666666666,5.5,15.0,4.5,4.166666666666667,2.0,5.0,2.5,1.5,0.8333333333333334,0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,1.708333333,1.375
121,Burnley,West Ham,13,0.3333333333333333,1.4166666666666667,-13,20,9,11,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.8333333333333334,0.4166666666666667,0.75,1.75,2.5,1.8333333333333333,-1.75,-0.08333333333333333,10.166666666666666,12.083333333333334,3.0833333333333335,4.0,15.083333333333334,16.666666666666668,6.083333333333333,5.583333333333333,0,0,0,4,0.6666666666666666,1.6666666666666667,3.0,2.1666666666666665,11.666666666666666,12.333333333333334,12.833333333333334,18.0,3.1666666666666665,3.1666666666666665,6.0,5.666666666666667,0.0,1.1666666666666667,0.0,0.3333333333333333,0.0,0.16666666666666666,1.0,0.5,1.702479339,1.371900826
122,Luton,Crystal Palace,13,0.5,1.25,-9,18,13,5,0.08333333333333333,0.3333333333333333,0.25,0.25,0.6666666666666666,0.4166666666666667,0.8333333333333334,1.0,1.8333333333333333,1.3333333333333333,-1.0,-0.3333333333333333,11.666666666666666,12.083333333333334,2.6666666666666665,4.083333333333333,16.5,12.666666666666666,5.416666666666667,3.75,1,3,5,7,0.6666666666666666,1.0,1.1666666666666667,1.3333333333333333,12.333333333333334,12.333333333333334,10.833333333333334,13.666666666666666,2.5,4.0,3.3333333333333335,3.8333333333333335,0.3333333333333333,1.6666666666666667,0.0,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,1.696721311,1.37704918
123,Newcastle,Chelsea,13,1.6666666666666667,1.3333333333333333,4,7,10,-3,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.25,1.75,1.0833333333333333,1.3333333333333333,1.1666666666666667,0.4166666666666667,13.083333333333334,14.416666666666666,5.916666666666667,5.083333333333333,12.333333333333334,11.166666666666666,4.0,4.25,3,3,11,10,2.3333333333333335,1.8333333333333333,0.5,0.8333333333333334,14.666666666666666,11.333333333333334,12.5,8.833333333333334,6.666666666666667,4.5,3.0,3.5,2.5,1.6666666666666667,0.8333333333333334,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.699186992,1.37398374
124,Nott'm Forest,Brighton,13,1.0833333333333333,1.5833333333333333,-6,15,8,7,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.25,1.1666666666666667,2.0833333333333335,1.5,1.75,-0.3333333333333333,0.3333333333333333,10.583333333333334,14.333333333333334,3.5833333333333335,6.0,13.916666666666666,12.0,4.666666666666667,4.166666666666667,3,1,6,3,1.3333333333333333,1.6666666666666667,0.8333333333333334,1.8333333333333333,10.0,8.166666666666666,10.166666666666666,11.5,3.3333333333333335,4.0,3.0,4.666666666666667,1.5,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.0,0.3333333333333333,1.717741935,1.370967742
125,Sheffield United,Bournemouth,13,0.4166666666666667,0.75,-4,19,17,2,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.75,0.5833333333333334,0.8333333333333334,0.9166666666666666,2.5833333333333335,2.25,-1.75,-1.3333333333333333,8.75,11.5,2.75,4.333333333333333,18.666666666666668,16.833333333333332,7.416666666666667,6.25,3,0,3,3,1.0,0.8333333333333334,2.6666666666666665,2.8333333333333335,9.833333333333334,8.833333333333334,19.333333333333332,17.666666666666668,3.3333333333333335,3.1666666666666665,7.666666666666667,6.166666666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.72,1.384
126,Brentford,Arsenal,13,1.3333333333333333,2.25,-11,11,3,8,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.08333333333333333,1.5833333333333333,2.1666666666666665,1.4166666666666667,0.8333333333333334,0.16666666666666666,1.3333333333333333,14.583333333333334,14.5,4.666666666666667,5.333333333333333,13.416666666666666,8.416666666666666,4.166666666666667,2.4166666666666665,3,0,10,10,2.0,1.3333333333333333,1.6666666666666667,0.5,15.833333333333334,11.5,13.5,8.333333333333334,5.0,3.1666666666666665,4.166666666666667,1.8333333333333333,1.5,1.6666666666666667,0.3333333333333333,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.714285714,1.396825397
127,Tottenham,Aston Villa,13,2.1666666666666665,2.0833333333333335,1,4,5,-1,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,2.0,2.4166666666666665,1.25,1.4166666666666667,0.75,1.0,15.916666666666666,14.916666666666666,5.666666666666667,5.75,13.416666666666666,10.166666666666666,4.5,3.9166666666666665,0,0,12,10,1.5,1.0,1.0,2.0,15.333333333333334,14.5,11.333333333333334,11.0,5.666666666666667,4.833333333333333,4.333333333333333,4.833333333333333,2.0,1.1666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5,1.700787402,1.393700787
128,Everton,Man United,13,1.1666666666666667,1.75,-7,14,6,8,0.3333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.5,0.4166666666666667,1.1666666666666667,1.0833333333333333,1.4166666666666667,1.3333333333333333,-0.25,-0.25,13.916666666666666,14.833333333333334,4.75,4.75,12.416666666666666,14.0,3.75,5.083333333333333,1,3,7,9,0.8333333333333334,0.8333333333333334,1.0,1.0,16.666666666666668,11.5,10.0,12.666666666666666,5.666666666666667,3.6666666666666665,2.6666666666666665,4.0,0.6666666666666666,1.5,0.16666666666666666,0.5,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.6953125,1.3984375
129,Fulham,Wolves,13,1.0,1.25,-3,16,12,4,0.25,0.3333333333333333,0.25,0.25,0.5,0.4166666666666667,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.6666666666666667,-0.8333333333333334,-0.3333333333333333,11.083333333333334,12.083333333333334,3.5833333333333335,3.8333333333333335,12.416666666666666,14.666666666666666,5.583333333333333,5.333333333333333,0,0,4,8,0.6666666666666666,1.1666666666666667,1.1666666666666667,1.3333333333333333,11.833333333333334,13.166666666666666,8.666666666666666,14.0,2.6666666666666665,4.166666666666667,3.5,5.166666666666667,1.0,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.5,0.5,1.682170543,1.410852713
130,Arsenal,Wolves,14,2.3076923076923075,1.1538461538461537,15,1,12,-11,0.6923076923076923,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.46153846153846156,2.076923076923077,1.3846153846153846,0.7692307692307693,1.7692307692307692,1.3076923076923077,-0.38461538461538464,14.538461538461538,11.923076923076923,5.230769230769231,4.0,8.461538461538462,14.461538461538462,2.4615384615384617,5.384615384615385,3,3,10,8,2.769230769230769,1.3846153846153846,1.0769230769230769,1.6923076923076923,16.153846153846153,13.692307692307692,7.846153846153846,14.76923076923077,6.923076923076923,4.769230769230769,2.769230769230769,5.6923076923076925,2.6153846153846154,1.0769230769230769,0.7692307692307693,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.0,0.6153846153846154,1.692307692,1.415384615
131,Brentford,Luton,14,1.2307692307692308,0.6923076923076923,7,11,18,-7,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.6153846153846154,1.4615384615384615,0.9230769230769231,1.3846153846153846,1.7692307692307692,0.07692307692307693,-0.8461538461538461,14.153846153846153,11.384615384615385,4.538461538461538,2.6923076923076925,13.538461538461538,16.46153846153846,4.153846153846154,5.615384615384615,0,0,9,2,1.8461538461538463,0.9230769230769231,1.6923076923076923,2.3076923076923075,16.0,10.153846153846153,14.76923076923077,20.46153846153846,5.076923076923077,2.6153846153846154,4.461538461538462,6.923076923076923,1.3846153846153846,0.6153846153846154,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.3076923076923077,0.7692307692307693,1.694656489,1.41221374
132,Burnley,Sheffield United,14,0.3076923076923077,0.38461538461538464,-1,20,19,1,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.8461538461538461,2.4615384615384617,2.6153846153846154,-1.6923076923076923,-1.7692307692307692,10.23076923076923,8.846153846153847,3.230769230769231,2.6923076923076925,14.76923076923077,19.0,5.846153846153846,7.6923076923076925,0,1,0,4,0.7692307692307693,0.6153846153846154,3.076923076923077,2.3076923076923075,12.461538461538462,7.076923076923077,13.538461538461538,16.615384615384617,3.6923076923076925,2.0,6.0,6.615384615384615,0.0,0.15384615384615385,0.0,0.0,0.0,0.15384615384615385,1.0769230769230769,0.7692307692307693,1.704545455,1.409090909
