,HomeTeam,AwayTeam,MW,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
61,Bournemouth,Arsenal,7,0.5,2.3333333333333335,-11,18,5,13,0.0,0.6666666666666666,0.5,0.3333333333333333,0.5,0.0,0.8333333333333334,1.8333333333333333,1.8333333333333333,1.0,-1.0,0.8333333333333334,12.5,15.166666666666666,4.333333333333333,6.0,17.833333333333332,9.833333333333334,6.0,2.5,1,3,3,13,0.3333333333333333,0.6666666666666666,1.0,0.0,12.666666666666666,9.0,15.666666666666666,7.333333333333333,4.0,2.3333333333333335,5.0,1.0,0.6666666666666666,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.62295082,1.508196721
62,Everton,Luton,7,0.6666666666666666,0.16666666666666666,3,15,19,-4,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.6666666666666667,2.1666666666666665,-0.8333333333333334,-1.5,14.166666666666666,13.5,5.166666666666667,2.3333333333333335,11.833333333333334,14.166666666666666,4.166666666666667,5.333333333333333,0,0,1,0,0.0,0.3333333333333333,1.0,2.6666666666666665,14.0,9.0,11.0,19.666666666666668,5.666666666666667,2.0,2.6666666666666665,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.596774194,1.548387097
63,Man United,Crystal Palace,7,1.5,1.3333333333333333,1,9,10,-1,0.5,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,1.1666666666666667,1.0,1.6666666666666667,1.1666666666666667,-0.5,-0.16666666666666666,15.0,13.666666666666666,4.666666666666667,5.333333333333333,14.666666666666666,12.0,5.5,3.1666666666666665,0,0,6,7,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,15.666666666666666,15.0,14.0,12.0,5.333333333333333,5.333333333333333,6.0,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.587301587,1.555555556
64,Newcastle,Burnley,7,1.5,0.6666666666666666,5,8,17,-9,0.5,0.16666666666666666,0.0,0.16666666666666666,0.5,0.6666666666666666,2.6666666666666665,1.0,1.1666666666666667,2.3333333333333335,1.5,-1.3333333333333333,14.5,11.166666666666666,6.833333333333333,3.0,12.333333333333334,16.0,3.8333333333333335,5.833333333333333,3,1,6,4,2.3333333333333335,1.0,1.0,0.6666666666666666,16.333333333333332,8.0,12.0,10.666666666666666,7.666666666666667,2.3333333333333335,4.0,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.5625,1.546875
65,West Ham,Sheffield United,7,1.6666666666666667,0.16666666666666666,9,7,20,-13,0.5,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,1.8333333333333333,0.8333333333333334,1.6666666666666667,2.8333333333333335,0.16666666666666666,-2.0,11.0,8.333333333333334,3.6666666666666665,3.3333333333333335,20.5,22.666666666666668,7.0,8.666666666666666,0,0,10,1,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,6.0,4.666666666666667,15.333333333333334,14.666666666666666,3.0,2.6666666666666665,6.333333333333333,4.666666666666667,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.569230769,1.523076923
66,Wolves,Man City,7,0.6666666666666666,3.0,-14,16,1,15,0.16666666666666666,1.0,0.16666666666666666,0.0,0.6666666666666666,0.0,1.0,2.6666666666666665,2.0,0.5,-1.0,2.1666666666666665,12.666666666666666,17.333333333333332,3.6666666666666665,7.5,16.333333333333332,6.833333333333333,6.5,2.3333333333333335,0,3,3,15,0.6666666666666666,2.6666666666666665,2.3333333333333335,0.6666666666666666,9.0,25.333333333333332,10.666666666666666,6.0,2.3333333333333335,10.666666666666666,4.666666666666667,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.575757576,1.5
67,Tottenham,Liverpool,7,2.3333333333333335,2.6666666666666665,-2,4,2,2,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.0,0.0,2.5,2.5,1.1666666666666667,0.8333333333333334,1.3333333333333333,1.6666666666666667,18.833333333333332,17.166666666666668,7.166666666666667,5.333333333333333,13.333333333333334,12.833333333333334,5.0,4.333333333333333,3,3,13,13,1.3333333333333333,2.0,0.3333333333333333,1.0,15.0,12.666666666666666,9.666666666666666,14.666666666666666,5.333333333333333,3.6666666666666665,3.6666666666666665,4.666666666666667,2.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.582089552,1.492537313
68,Nott'm Forest,Brentford,7,1.1666666666666667,1.0,1,12,13,-1,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.5,0.3333333333333333,1.1666666666666667,1.5,1.5,1.5,-0.3333333333333333,0.0,10.333333333333334,14.0,3.3333333333333335,4.333333333333333,13.0,13.666666666666666,4.666666666666667,4.333333333333333,1,0,7,6,1.0,1.0,0.6666666666666666,0.3333333333333333,10.0,9.333333333333334,5.666666666666667,6.333333333333333,2.6666666666666665,3.3333333333333335,2.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.588235294,1.485294118
69,Fulham,Chelsea,7,1.3333333333333333,0.8333333333333334,3,11,14,-3,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,0.8333333333333334,1.6666666666666667,1.0,-0.8333333333333334,-0.16666666666666666,9.333333333333334,15.166666666666666,3.0,4.666666666666667,12.666666666666666,11.833333333333334,6.333333333333333,3.6666666666666665,3,1,7,5,0.3333333333333333,0.3333333333333333,1.0,1.0,7.666666666666667,10.333333333333334,8.0,8.333333333333334,1.3333333333333333,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.579710145,1.47826087
70,Luton,Tottenham,8,0.5714285714285714,2.4285714285714284,-13,17,2,15,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.0,0.8571428571428571,2.4285714285714284,2.0,1.1428571428571428,-1.1428571428571428,1.2857142857142858,12.857142857142858,19.571428571428573,2.2857142857142856,7.285714285714286,15.428571428571429,13.142857142857142,5.285714285714286,4.857142857142857,1,1,1,13,0.8571428571428571,3.142857142857143,1.4285714285714286,1.7142857142857142,15.428571428571429,19.428571428571427,7.428571428571429,14.571428571428571,2.2857142857142856,7.714285714285714,2.857142857142857,5.428571428571429,0.2857142857142857,2.2857142857142856,0.0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0,1.557142857,1.485714286
